sched_name,throughput_mbps
x7ti_os_R1,16.809
x7ti_os_R1,17.201
x7ti_os_R1,16.862
x7ti_os_R1,16.767
x7ti_os_R1,16.978
x7ti_os_R1,16.868
x7ti_os_R1,16.819
x7ti_os_R1,16.996
x7ti_os_R1,17.088
x7ti_os_R1,17.063
x7ti_os_R1,17.229
x7ti_os_R1,16.936
x7ti_os_R1,16.943
x7ti_os_R1,16.712
x7ti_os_R1,16.746
x7ti_os_R2,15.590
x7ti_os_R2,15.593
x7ti_os_R2,15.596
x7ti_os_R2,15.636
x7ti_os_R2,15.616
x7ti_os_R2,15.625
x7ti_os_R2,15.592
x7ti_os_R2,15.624
x7ti_os_R2,15.641
x7ti_os_R2,15.690
x7ti_os_R2,15.591
x7ti_os_R2,15.623
x7ti_os_R2,15.671
x7ti_os_R2,15.626
x7ti_os_R2,15.670
x7ti_os_R3,14.124
x7ti_os_R3,14.098
x7ti_os_R3,14.088
x7ti_os_R3,14.061
x7ti_os_R3,14.074
x7ti_os_R3,14.073
x7ti_os_R3,14.078
x7ti_os_R3,14.101
x7ti_os_R3,14.028
x7ti_os_R3,14.080
x7ti_os_R3,14.080
x7ti_os_R3,14.083
x7ti_os_R3,14.096
x7ti_os_R3,14.056
x7ti_os_R3,14.070
x7ti_os_R4,12.918
x7ti_os_R4,12.907
x7ti_os_R4,12.878
x7ti_os_R4,12.902
x7ti_os_R4,12.891
x7ti_os_R4,12.871
x7ti_os_R4,12.878
x7ti_os_R4,12.882
x7ti_os_R4,12.843
x7ti_os_R4,12.860
x7ti_os_R4,12.882
x7ti_os_R4,12.885
x7ti_os_R4,12.880
x7ti_os_R4,12.889
x7ti_os_R4,12.861
x7ti_os_R5,12.084
x7ti_os_R5,12.139
x7ti_os_R5,12.182
x7ti_os_R5,12.115
x7ti_os_R5,12.105
x7ti_os_R5,12.097
x7ti_os_R5,12.092
x7ti_os_R5,12.127
x7ti_os_R5,12.130
x7ti_os_R5,12.128
x7ti_os_R5,12.118
x7ti_os_R5,12.168
x7ti_os_R5,12.130
x7ti_os_R5,12.145
x7ti_os_R5,12.124
x7ti_os_R6,10.370
x7ti_os_R6,10.303
x7ti_os_R6,10.455
x7ti_os_R6,10.368
x7ti_os_R6,10.430
x7ti_os_R6,10.451
x7ti_os_R6,10.414
x7ti_os_R6,10.436
x7ti_os_R6,10.405
x7ti_os_R6,10.460
x7ti_os_R6,10.425
x7ti_os_R6,10.443
x7ti_os_R6,10.468
x7ti_os_R6,10.430
x7ti_os_R6,10.375
x7ti_os_R7,8.944
x7ti_os_R7,9.007
x7ti_os_R7,8.960
x7ti_os_R7,9.056
x7ti_os_R7,9.035
x7ti_os_R7,9.026
x7ti_os_R7,9.021
x7ti_os_R7,8.970
x7ti_os_R7,9.005
x7ti_os_R7,9.060
x7ti_os_R7,8.998
x7ti_os_R7,9.001
x7ti_os_R7,9.020
x7ti_os_R7,9.014
x7ti_os_R7,9.010
