sched_name,throughput_mbps
x7ti_2CATAC_3big_4little,39.178
x7ti_2CATAC_3big_4little,39.077
x7ti_2CATAC_3big_4little,39.327
x7ti_2CATAC_3big_4little,39.235
x7ti_2CATAC_3big_4little,39.315
x7ti_2CATAC_3big_4little,39.161
x7ti_2CATAC_3big_4little,39.245
x7ti_2CATAC_3big_4little,39.347
x7ti_2CATAC_3big_4little,38.425
x7ti_2CATAC_3big_4little,39.078
x7ti_2CATAC_3big_4little_lavd,37.210
x7ti_2CATAC_3big_4little_lavd,39.048
x7ti_2CATAC_3big_4little_lavd,37.801
x7ti_2CATAC_3big_4little_lavd,38.871
x7ti_2CATAC_3big_4little_lavd,38.813
x7ti_2CATAC_3big_4little_lavd,37.632
x7ti_2CATAC_3big_4little_lavd,36.016
x7ti_2CATAC_3big_4little_lavd,38.052
x7ti_2CATAC_3big_4little_lavd,37.806
x7ti_2CATAC_3big_4little_lavd,38.544
x7ti_2CATAC_3big_4little_bpfland,32.981
x7ti_2CATAC_3big_4little_bpfland,34.307
x7ti_2CATAC_3big_4little_bpfland,33.370
x7ti_2CATAC_3big_4little_bpfland,34.158
x7ti_2CATAC_3big_4little_bpfland,35.077
x7ti_2CATAC_3big_4little_bpfland,34.871
x7ti_2CATAC_3big_4little_bpfland,34.548
x7ti_2CATAC_3big_4little_bpfland,34.200
x7ti_2CATAC_3big_4little_bpfland,34.500
x7ti_2CATAC_3big_4little_bpfland,34.487
x7ti_2CATAC_6big_8little,70.199
x7ti_2CATAC_6big_8little,69.198
x7ti_2CATAC_6big_8little,70.363
x7ti_2CATAC_6big_8little,68.891
x7ti_2CATAC_6big_8little,70.694
x7ti_2CATAC_6big_8little,69.056
x7ti_2CATAC_6big_8little,70.240
x7ti_2CATAC_6big_8little,69.674
x7ti_2CATAC_6big_8little,70.172
x7ti_2CATAC_6big_8little,69.908
x7ti_2CATAC_6big_8little_lavd,70.866
x7ti_2CATAC_6big_8little_lavd,70.350
x7ti_2CATAC_6big_8little_lavd,70.683
x7ti_2CATAC_6big_8little_lavd,70.379
x7ti_2CATAC_6big_8little_lavd,70.376
x7ti_2CATAC_6big_8little_lavd,70.537
x7ti_2CATAC_6big_8little_lavd,70.360
x7ti_2CATAC_6big_8little_lavd,70.745
x7ti_2CATAC_6big_8little_lavd,70.158
x7ti_2CATAC_6big_8little_lavd,70.000
x7ti_2CATAC_6big_8little_bpfland,62.727
x7ti_2CATAC_6big_8little_bpfland,61.901
x7ti_2CATAC_6big_8little_bpfland,62.709
x7ti_2CATAC_6big_8little_bpfland,61.981
x7ti_2CATAC_6big_8little_bpfland,62.213
x7ti_2CATAC_6big_8little_bpfland,61.381
x7ti_2CATAC_6big_8little_bpfland,62.374
x7ti_2CATAC_6big_8little_bpfland,62.288
x7ti_2CATAC_6big_8little_bpfland,62.957
x7ti_2CATAC_6big_8little_bpfland,62.374
x7ti_FERTAC_3big_4little,37.785
x7ti_FERTAC_3big_4little,37.750
x7ti_FERTAC_3big_4little,37.695
x7ti_FERTAC_3big_4little,37.962
x7ti_FERTAC_3big_4little,37.826
x7ti_FERTAC_3big_4little,37.794
x7ti_FERTAC_3big_4little,37.926
x7ti_FERTAC_3big_4little,37.919
x7ti_FERTAC_3big_4little,38.167
x7ti_FERTAC_3big_4little,37.919
x7ti_FERTAC_3big_4little_lavd,33.864
x7ti_FERTAC_3big_4little_lavd,31.014
x7ti_FERTAC_3big_4little_lavd,14.450
x7ti_FERTAC_3big_4little_lavd,25.360
x7ti_FERTAC_3big_4little_lavd,37.535
x7ti_FERTAC_3big_4little_lavd,15.551
x7ti_FERTAC_3big_4little_lavd,33.741
x7ti_FERTAC_3big_4little_lavd,23.142
x7ti_FERTAC_3big_4little_lavd,14.300
x7ti_FERTAC_3big_4little_lavd,21.895
x7ti_FERTAC_3big_4little_bpfland,38.232
x7ti_FERTAC_3big_4little_bpfland,38.250
x7ti_FERTAC_3big_4little_bpfland,38.153
x7ti_FERTAC_3big_4little_bpfland,38.434
x7ti_FERTAC_3big_4little_bpfland,38.174
x7ti_FERTAC_3big_4little_bpfland,38.512
x7ti_FERTAC_3big_4little_bpfland,38.059
x7ti_FERTAC_3big_4little_bpfland,38.390
x7ti_FERTAC_3big_4little_bpfland,37.988
x7ti_FERTAC_3big_4little_bpfland,37.976
x7ti_FERTAC_6big_8little,56.569
x7ti_FERTAC_6big_8little,57.572
x7ti_FERTAC_6big_8little,56.169
x7ti_FERTAC_6big_8little,56.929
x7ti_FERTAC_6big_8little,61.421
x7ti_FERTAC_6big_8little,57.492
x7ti_FERTAC_6big_8little,58.486
x7ti_FERTAC_6big_8little,57.573
x7ti_FERTAC_6big_8little,61.828
x7ti_FERTAC_6big_8little,61.591
x7ti_FERTAC_6big_8little_lavd,55.347
x7ti_FERTAC_6big_8little_lavd,57.755
x7ti_FERTAC_6big_8little_lavd,54.075
x7ti_FERTAC_6big_8little_lavd,50.570
x7ti_FERTAC_6big_8little_lavd,56.233
x7ti_FERTAC_6big_8little_lavd,44.910
x7ti_FERTAC_6big_8little_lavd,58.243
x7ti_FERTAC_6big_8little_lavd,58.859
x7ti_FERTAC_6big_8little_lavd,39.405
x7ti_FERTAC_6big_8little_lavd,55.019
x7ti_FERTAC_6big_8little_bpfland,61.364
x7ti_FERTAC_6big_8little_bpfland,61.186
x7ti_FERTAC_6big_8little_bpfland,61.298
x7ti_FERTAC_6big_8little_bpfland,61.568
x7ti_FERTAC_6big_8little_bpfland,61.922
x7ti_FERTAC_6big_8little_bpfland,61.064
x7ti_FERTAC_6big_8little_bpfland,61.174
x7ti_FERTAC_6big_8little_bpfland,61.887
x7ti_FERTAC_6big_8little_bpfland,61.286
x7ti_FERTAC_6big_8little_bpfland,61.189
x7ti_HeRAD_3big_4little,38.665
x7ti_HeRAD_3big_4little,39.240
x7ti_HeRAD_3big_4little,39.164
x7ti_HeRAD_3big_4little,39.413
x7ti_HeRAD_3big_4little,39.160
x7ti_HeRAD_3big_4little,39.152
x7ti_HeRAD_3big_4little,38.870
x7ti_HeRAD_3big_4little,38.980
x7ti_HeRAD_3big_4little,38.827
x7ti_HeRAD_3big_4little,39.472
x7ti_HeRAD_3big_4little_lavd,38.721
x7ti_HeRAD_3big_4little_lavd,38.926
x7ti_HeRAD_3big_4little_lavd,39.071
x7ti_HeRAD_3big_4little_lavd,38.733
x7ti_HeRAD_3big_4little_lavd,39.019
x7ti_HeRAD_3big_4little_lavd,38.959
x7ti_HeRAD_3big_4little_lavd,38.851
x7ti_HeRAD_3big_4little_lavd,12.233
x7ti_HeRAD_3big_4little_lavd,39.121
x7ti_HeRAD_3big_4little_lavd,38.729
x7ti_HeRAD_3big_4little_bpfland,32.259
x7ti_HeRAD_3big_4little_bpfland,32.736
x7ti_HeRAD_3big_4little_bpfland,32.888
x7ti_HeRAD_3big_4little_bpfland,32.247
x7ti_HeRAD_3big_4little_bpfland,32.532
x7ti_HeRAD_3big_4little_bpfland,32.265
x7ti_HeRAD_3big_4little_bpfland,32.640
x7ti_HeRAD_3big_4little_bpfland,32.328
x7ti_HeRAD_3big_4little_bpfland,32.256
x7ti_HeRAD_3big_4little_bpfland,32.036
x7ti_HeRAD_6big_8little,70.372
x7ti_HeRAD_6big_8little,70.114
x7ti_HeRAD_6big_8little,70.895
x7ti_HeRAD_6big_8little,69.802
x7ti_HeRAD_6big_8little,67.615
x7ti_HeRAD_6big_8little,64.121
x7ti_HeRAD_6big_8little,71.373
x7ti_HeRAD_6big_8little,70.614
x7ti_HeRAD_6big_8little,71.384
x7ti_HeRAD_6big_8little,68.445
x7ti_HeRAD_6big_8little_lavd,70.834
x7ti_HeRAD_6big_8little_lavd,71.198
x7ti_HeRAD_6big_8little_lavd,71.294
x7ti_HeRAD_6big_8little_lavd,71.196
x7ti_HeRAD_6big_8little_lavd,71.236
x7ti_HeRAD_6big_8little_lavd,71.147
x7ti_HeRAD_6big_8little_lavd,71.224
x7ti_HeRAD_6big_8little_lavd,71.146
x7ti_HeRAD_6big_8little_lavd,71.249
x7ti_HeRAD_6big_8little_lavd,71.350
x7ti_HeRAD_6big_8little_bpfland,61.720
x7ti_HeRAD_6big_8little_bpfland,61.821
x7ti_HeRAD_6big_8little_bpfland,61.933
x7ti_HeRAD_6big_8little_bpfland,62.020
x7ti_HeRAD_6big_8little_bpfland,61.934
x7ti_HeRAD_6big_8little_bpfland,61.932
x7ti_HeRAD_6big_8little_bpfland,61.726
x7ti_HeRAD_6big_8little_bpfland,62.087
x7ti_HeRAD_6big_8little_bpfland,61.692
x7ti_HeRAD_6big_8little_bpfland,61.875
x7ti_OTAC_big_3big_4little,17.977
x7ti_OTAC_big_3big_4little,18.197
x7ti_OTAC_big_3big_4little,18.745
x7ti_OTAC_big_3big_4little,18.322
x7ti_OTAC_big_3big_4little,18.274
x7ti_OTAC_big_3big_4little,18.723
x7ti_OTAC_big_3big_4little,18.687
x7ti_OTAC_big_3big_4little,18.228
x7ti_OTAC_big_3big_4little,18.344
x7ti_OTAC_big_3big_4little,18.728
x7ti_OTAC_big_3big_4little_lavd,17.891
x7ti_OTAC_big_3big_4little_lavd,18.162
x7ti_OTAC_big_3big_4little_lavd,18.206
x7ti_OTAC_big_3big_4little_lavd,18.278
x7ti_OTAC_big_3big_4little_lavd,18.310
x7ti_OTAC_big_3big_4little_lavd,18.286
x7ti_OTAC_big_3big_4little_lavd,18.301
x7ti_OTAC_big_3big_4little_lavd,18.346
x7ti_OTAC_big_3big_4little_lavd,18.257
x7ti_OTAC_big_3big_4little_lavd,18.299
x7ti_OTAC_big_3big_4little_bpfland,18.594
x7ti_OTAC_big_3big_4little_bpfland,18.285
x7ti_OTAC_big_3big_4little_bpfland,18.132
x7ti_OTAC_big_3big_4little_bpfland,18.225
x7ti_OTAC_big_3big_4little_bpfland,18.560
x7ti_OTAC_big_3big_4little_bpfland,18.325
x7ti_OTAC_big_3big_4little_bpfland,18.608
x7ti_OTAC_big_3big_4little_bpfland,18.288
x7ti_OTAC_big_3big_4little_bpfland,18.233
x7ti_OTAC_big_3big_4little_bpfland,18.248
x7ti_OTAC_big_6big_8little,36.754
x7ti_OTAC_big_6big_8little,36.413
x7ti_OTAC_big_6big_8little,36.962
x7ti_OTAC_big_6big_8little,36.232
x7ti_OTAC_big_6big_8little,36.234
x7ti_OTAC_big_6big_8little,36.640
x7ti_OTAC_big_6big_8little,36.401
x7ti_OTAC_big_6big_8little,36.870
x7ti_OTAC_big_6big_8little,36.519
x7ti_OTAC_big_6big_8little,36.713
x7ti_OTAC_big_6big_8little_lavd,36.673
x7ti_OTAC_big_6big_8little_lavd,36.474
x7ti_OTAC_big_6big_8little_lavd,36.361
x7ti_OTAC_big_6big_8little_lavd,36.657
x7ti_OTAC_big_6big_8little_lavd,36.505
x7ti_OTAC_big_6big_8little_lavd,36.556
x7ti_OTAC_big_6big_8little_lavd,36.774
x7ti_OTAC_big_6big_8little_lavd,36.286
x7ti_OTAC_big_6big_8little_lavd,36.573
x7ti_OTAC_big_6big_8little_lavd,36.594
x7ti_OTAC_big_6big_8little_bpfland,37.479
x7ti_OTAC_big_6big_8little_bpfland,37.419
x7ti_OTAC_big_6big_8little_bpfland,37.381
x7ti_OTAC_big_6big_8little_bpfland,37.375
x7ti_OTAC_big_6big_8little_bpfland,37.395
x7ti_OTAC_big_6big_8little_bpfland,37.324
x7ti_OTAC_big_6big_8little_bpfland,37.244
x7ti_OTAC_big_6big_8little_bpfland,37.586
x7ti_OTAC_big_6big_8little_bpfland,37.333
x7ti_OTAC_big_6big_8little_bpfland,37.415
x7ti_OTAC_little_3big_4little,14.710
x7ti_OTAC_little_3big_4little,14.643
x7ti_OTAC_little_3big_4little,14.661
x7ti_OTAC_little_3big_4little,14.777
x7ti_OTAC_little_3big_4little,14.754
x7ti_OTAC_little_3big_4little,14.679
x7ti_OTAC_little_3big_4little,14.673
x7ti_OTAC_little_3big_4little,14.648
x7ti_OTAC_little_3big_4little,14.613
x7ti_OTAC_little_3big_4little,14.649
x7ti_OTAC_little_3big_4little_lavd,4.994
x7ti_OTAC_little_3big_4little_lavd,4.983
x7ti_OTAC_little_3big_4little_lavd,4.984
x7ti_OTAC_little_3big_4little_lavd,4.982
x7ti_OTAC_little_3big_4little_lavd,4.957
x7ti_OTAC_little_3big_4little_lavd,4.992
x7ti_OTAC_little_3big_4little_lavd,4.952
x7ti_OTAC_little_3big_4little_lavd,4.985
x7ti_OTAC_little_3big_4little_lavd,4.921
x7ti_OTAC_little_3big_4little_lavd,5.010
x7ti_OTAC_little_3big_4little_bpfland,12.288
x7ti_OTAC_little_3big_4little_bpfland,12.261
x7ti_OTAC_little_3big_4little_bpfland,12.257
x7ti_OTAC_little_3big_4little_bpfland,12.209
x7ti_OTAC_little_3big_4little_bpfland,12.231
x7ti_OTAC_little_3big_4little_bpfland,12.247
x7ti_OTAC_little_3big_4little_bpfland,12.232
x7ti_OTAC_little_3big_4little_bpfland,12.114
x7ti_OTAC_little_3big_4little_bpfland,12.201
x7ti_OTAC_little_3big_4little_bpfland,12.309
x7ti_OTAC_little_6big_8little,25.735
x7ti_OTAC_little_6big_8little,25.865
x7ti_OTAC_little_6big_8little,25.625
x7ti_OTAC_little_6big_8little,25.883
x7ti_OTAC_little_6big_8little,25.839
x7ti_OTAC_little_6big_8little,25.798
x7ti_OTAC_little_6big_8little,25.682
x7ti_OTAC_little_6big_8little,25.917
x7ti_OTAC_little_6big_8little,25.785
x7ti_OTAC_little_6big_8little,25.924
x7ti_OTAC_little_6big_8little_lavd,4.969
x7ti_OTAC_little_6big_8little_lavd,4.969
x7ti_OTAC_little_6big_8little_lavd,4.972
x7ti_OTAC_little_6big_8little_lavd,4.988
x7ti_OTAC_little_6big_8little_lavd,4.886
x7ti_OTAC_little_6big_8little_lavd,4.973
x7ti_OTAC_little_6big_8little_lavd,4.975
x7ti_OTAC_little_6big_8little_lavd,4.974
x7ti_OTAC_little_6big_8little_lavd,4.969
x7ti_OTAC_little_6big_8little_lavd,4.957
x7ti_OTAC_little_6big_8little_bpfland,24.475
x7ti_OTAC_little_6big_8little_bpfland,24.486
x7ti_OTAC_little_6big_8little_bpfland,24.463
x7ti_OTAC_little_6big_8little_bpfland,24.445
x7ti_OTAC_little_6big_8little_bpfland,24.527
x7ti_OTAC_little_6big_8little_bpfland,24.489
x7ti_OTAC_little_6big_8little_bpfland,24.488
x7ti_OTAC_little_6big_8little_bpfland,24.434
x7ti_OTAC_little_6big_8little_bpfland,24.471
x7ti_OTAC_little_6big_8little_bpfland,24.490
