sched_name,throughput_mbps
x7ti_2CATAC_3big_4little,43.538
x7ti_2CATAC_3big_4little,43.234
x7ti_2CATAC_3big_4little,43.255
x7ti_2CATAC_3big_4little,43.157
x7ti_2CATAC_3big_4little,43.121
x7ti_2CATAC_3big_4little,43.310
x7ti_2CATAC_3big_4little,43.177
x7ti_2CATAC_3big_4little,43.097
x7ti_2CATAC_3big_4little,43.259
x7ti_2CATAC_3big_4little,43.272
x7ti_2CATAC_6big_8little,51.184
x7ti_2CATAC_6big_8little,50.178
x7ti_2CATAC_6big_8little,48.266
x7ti_2CATAC_6big_8little,49.712
x7ti_2CATAC_6big_8little,50.503
x7ti_2CATAC_6big_8little,49.013
x7ti_2CATAC_6big_8little,50.495
x7ti_2CATAC_6big_8little,52.037
x7ti_2CATAC_6big_8little,49.813
x7ti_2CATAC_6big_8little,48.595
x7ti_FERTAC_3big_4little,35.465
x7ti_FERTAC_3big_4little,35.836
x7ti_FERTAC_3big_4little,35.518
x7ti_FERTAC_3big_4little,35.738
x7ti_FERTAC_3big_4little,35.249
x7ti_FERTAC_3big_4little,35.565
x7ti_FERTAC_3big_4little,35.716
x7ti_FERTAC_3big_4little,35.961
x7ti_FERTAC_3big_4little,36.042
x7ti_FERTAC_3big_4little,35.355
x7ti_FERTAC_6big_8little,55.966
x7ti_FERTAC_6big_8little,56.259
x7ti_FERTAC_6big_8little,57.174
x7ti_FERTAC_6big_8little,56.113
x7ti_FERTAC_6big_8little,56.964
x7ti_FERTAC_6big_8little,56.323
x7ti_FERTAC_6big_8little,53.235
x7ti_FERTAC_6big_8little,56.643
x7ti_FERTAC_6big_8little,55.840
x7ti_FERTAC_6big_8little,55.821
x7ti_HeRAD_3big_4little,43.901
x7ti_HeRAD_3big_4little,43.817
x7ti_HeRAD_3big_4little,43.732
x7ti_HeRAD_3big_4little,43.674
x7ti_HeRAD_3big_4little,43.785
x7ti_HeRAD_3big_4little,43.750
x7ti_HeRAD_3big_4little,43.818
x7ti_HeRAD_3big_4little,43.818
x7ti_HeRAD_3big_4little,43.593
x7ti_HeRAD_3big_4little,43.702
x7ti_HeRAD_6big_8little,50.708
x7ti_HeRAD_6big_8little,50.178
x7ti_HeRAD_6big_8little,50.059
x7ti_HeRAD_6big_8little,51.511
x7ti_HeRAD_6big_8little,50.434
x7ti_HeRAD_6big_8little,50.806
x7ti_HeRAD_6big_8little,49.288
x7ti_HeRAD_6big_8little,49.978
x7ti_HeRAD_6big_8little,50.072
x7ti_HeRAD_6big_8little,49.673
x7ti_OTAC_big_3big_4little,18.527
x7ti_OTAC_big_3big_4little,18.235
x7ti_OTAC_big_3big_4little,18.215
x7ti_OTAC_big_3big_4little,18.258
x7ti_OTAC_big_3big_4little,18.352
x7ti_OTAC_big_3big_4little,18.662
x7ti_OTAC_big_3big_4little,18.255
x7ti_OTAC_big_3big_4little,18.472
x7ti_OTAC_big_3big_4little,18.285
x7ti_OTAC_big_3big_4little,18.309
x7ti_OTAC_big_6big_8little,36.819
x7ti_OTAC_big_6big_8little,36.566
x7ti_OTAC_big_6big_8little,36.516
x7ti_OTAC_big_6big_8little,36.891
x7ti_OTAC_big_6big_8little,36.502
x7ti_OTAC_big_6big_8little,37.061
x7ti_OTAC_big_6big_8little,36.240
x7ti_OTAC_big_6big_8little,36.302
x7ti_OTAC_big_6big_8little,36.332
x7ti_OTAC_big_6big_8little,36.111
x7ti_OTAC_little_3big_4little,25.214
x7ti_OTAC_little_3big_4little,25.483
x7ti_OTAC_little_3big_4little,25.449
x7ti_OTAC_little_3big_4little,25.766
x7ti_OTAC_little_3big_4little,25.501
x7ti_OTAC_little_3big_4little,25.451
x7ti_OTAC_little_3big_4little,25.354
x7ti_OTAC_little_3big_4little,25.778
x7ti_OTAC_little_3big_4little,25.512
x7ti_OTAC_little_3big_4little,25.285
x7ti_OTAC_little_6big_8little,44.956
x7ti_OTAC_little_6big_8little,44.949
x7ti_OTAC_little_6big_8little,44.544
x7ti_OTAC_little_6big_8little,44.743
x7ti_OTAC_little_6big_8little,44.797
x7ti_OTAC_little_6big_8little,44.671
x7ti_OTAC_little_6big_8little,44.697
x7ti_OTAC_little_6big_8little,44.754
x7ti_OTAC_little_6big_8little,44.778
x7ti_OTAC_little_6big_8little,44.939
