node,sched,pinning,max_little,max_big,n_little,n_big,strat,thr_mean,thr_min,thr_max,thr_error,thr_std
x7ti,2CATAC,loose,4,3,4,3,half,43.242000000000004,43.097,43.538,0.4409999999999954,0.12506798151405413
x7ti,2CATAC,lavd,4,3,0,0,half,30.856,25.359,34.483,9.123999999999995,2.6713676064684333
x7ti,2CATAC,bpfland,4,3,0,0,half,40.5868,39.527,41.098,1.570999999999998,0.5177148078065978
x7ti,2CATAC,loose,8,6,8,5,full,49.97959999999999,48.266,52.037,3.771000000000001,1.1618780008627794
x7ti,2CATAC,lavd,8,6,0,0,full,40.6177,34.008,55.837,21.829,7.3943593524613975
x7ti,2CATAC,bpfland,8,6,0,0,full,41.91530000000001,40.748,42.339,1.591000000000001,0.48770165060208737
x7ti,FERTAC,loose,4,3,4,3,half,35.64450000000001,35.249,36.042,0.7929999999999993,0.25894626212144195
x7ti,FERTAC,lavd,4,3,0,0,half,24.89,22.683,32.188,9.505000000000003,3.212720446392227
x7ti,FERTAC,bpfland,4,3,0,0,half,37.115300000000005,36.887,37.35,0.46300000000000097,0.18602870148925393
x7ti,FERTAC,loose,8,6,8,6,full,56.03380000000001,53.235,57.174,3.939,1.0851419569193086
x7ti,FERTAC,lavd,8,6,0,0,full,47.384,40.739,50.176,9.437000000000005,3.3306369093946913
x7ti,FERTAC,bpfland,8,6,0,0,full,59.18710000000001,58.815,59.624,0.8090000000000046,0.2717574286013176
x7ti,HeRAD,loose,4,3,4,3,half,43.759,43.593,43.901,0.30799999999999983,0.08819548993256052
x7ti,HeRAD,lavd,4,3,0,0,half,35.819199999999995,30.671,40.519,9.847999999999999,3.0124931277007816
x7ti,HeRAD,bpfland,4,3,0,0,half,42.839299999999994,42.361,43.733,1.3719999999999999,0.39172497438324694
x7ti,HeRAD,loose,8,6,8,5,full,50.2707,49.288,51.511,2.223000000000006,0.6275435443058917
x7ti,HeRAD,lavd,8,6,0,0,full,38.7787,33.758,49.221,15.462999999999994,4.559487399307561
x7ti,HeRAD,bpfland,8,6,0,0,full,42.9194,42.513,43.103,0.5900000000000034,0.1999689975971281
x7ti,OTAC_big,loose,4,3,0,3,half,18.357,18.215,18.662,0.4469999999999992,0.14829250374400832
x7ti,OTAC_big,lavd,4,3,0,0,half,18.297700000000003,18.179,18.37,0.1910000000000025,0.05804796866959889
x7ti,OTAC_big,bpfland,4,3,0,0,half,18.2377,18.121,18.374,0.2530000000000001,0.06347711748689011
x7ti,OTAC_big,loose,8,6,0,6,full,36.534000000000006,36.111,37.061,0.9500000000000028,0.30709535254633163
x7ti,OTAC_big,lavd,8,6,0,0,full,23.3084,22.855,24.555,1.6999999999999993,0.5344792273273533
x7ti,OTAC_big,bpfland,8,6,0,0,full,37.30029999999999,37.201,37.471,0.269999999999996,0.07654490330663478
x7ti,OTAC_little,loose,4,3,4,0,half,25.479300000000002,25.214,25.778,0.5640000000000001,0.18212575020817012
x7ti,OTAC_little,lavd,4,3,0,0,half,25.6894,25.617,25.742,0.125,0.04002554739718659
x7ti,OTAC_little,bpfland,4,3,0,0,half,25.854300000000006,25.636,26.003,0.3670000000000009,0.09526343591442758
x7ti,OTAC_little,loose,8,6,8,0,full,44.78280000000001,44.544,44.956,0.41200000000000614,0.1339749562003625
x7ti,OTAC_little,lavd,8,6,0,0,full,30.507399999999997,29.706,32.583,2.876999999999999,1.1053424004453194
x7ti,OTAC_little,bpfland,8,6,0,0,full,41.8279,41.575,41.992,0.4169999999999945,0.15655701836711086
