sched_name,throughput_mbps
x7ti_2CATAC_3big_4little,44.680
x7ti_2CATAC_3big_4little,45.051
x7ti_2CATAC_3big_4little,44.464
x7ti_2CATAC_3big_4little,45.006
x7ti_2CATAC_3big_4little,45.062
x7ti_2CATAC_3big_4little,45.246
x7ti_2CATAC_3big_4little,43.390
x7ti_2CATAC_3big_4little,44.575
x7ti_2CATAC_3big_4little,44.418
x7ti_2CATAC_3big_4little,45.027
x7ti_2CATAC_6big_8little,50.948
x7ti_2CATAC_6big_8little,49.546
x7ti_2CATAC_6big_8little,52.686
x7ti_2CATAC_6big_8little,48.992
x7ti_2CATAC_6big_8little,53.277
x7ti_2CATAC_6big_8little,50.022
x7ti_2CATAC_6big_8little,50.921
x7ti_2CATAC_6big_8little,48.893
x7ti_2CATAC_6big_8little,48.754
x7ti_2CATAC_6big_8little,52.730
x7ti_FERTAC_3big_4little,34.635
x7ti_FERTAC_3big_4little,34.135
x7ti_FERTAC_3big_4little,34.681
x7ti_FERTAC_3big_4little,34.809
x7ti_FERTAC_3big_4little,34.054
x7ti_FERTAC_3big_4little,34.704
x7ti_FERTAC_3big_4little,34.555
x7ti_FERTAC_3big_4little,34.297
x7ti_FERTAC_3big_4little,34.888
x7ti_FERTAC_3big_4little,34.338
x7ti_FERTAC_6big_8little,53.733
x7ti_FERTAC_6big_8little,54.967
x7ti_FERTAC_6big_8little,55.583
x7ti_FERTAC_6big_8little,54.250
x7ti_FERTAC_6big_8little,53.948
x7ti_FERTAC_6big_8little,53.308
x7ti_FERTAC_6big_8little,55.487
x7ti_FERTAC_6big_8little,55.055
x7ti_FERTAC_6big_8little,53.529
x7ti_FERTAC_6big_8little,53.744
x7ti_HeRAD_3big_4little,45.005
x7ti_HeRAD_3big_4little,44.907
x7ti_HeRAD_3big_4little,44.233
x7ti_HeRAD_3big_4little,45.115
x7ti_HeRAD_3big_4little,45.339
x7ti_HeRAD_3big_4little,44.685
x7ti_HeRAD_3big_4little,45.488
x7ti_HeRAD_3big_4little,44.619
x7ti_HeRAD_3big_4little,45.103
x7ti_HeRAD_3big_4little,44.669
x7ti_HeRAD_6big_8little,50.554
x7ti_HeRAD_6big_8little,51.435
x7ti_HeRAD_6big_8little,49.665
x7ti_HeRAD_6big_8little,50.596
x7ti_HeRAD_6big_8little,48.545
x7ti_HeRAD_6big_8little,49.119
x7ti_HeRAD_6big_8little,51.342
x7ti_HeRAD_6big_8little,48.711
x7ti_HeRAD_6big_8little,52.483
x7ti_HeRAD_6big_8little,48.289
x7ti_OTAC_big_3big_4little,17.051
x7ti_OTAC_big_3big_4little,17.135
x7ti_OTAC_big_3big_4little,17.436
x7ti_OTAC_big_3big_4little,17.325
x7ti_OTAC_big_3big_4little,17.449
x7ti_OTAC_big_3big_4little,17.181
x7ti_OTAC_big_3big_4little,17.344
x7ti_OTAC_big_3big_4little,17.425
x7ti_OTAC_big_3big_4little,17.352
x7ti_OTAC_big_3big_4little,17.465
x7ti_OTAC_big_6big_8little,34.732
x7ti_OTAC_big_6big_8little,35.158
x7ti_OTAC_big_6big_8little,35.413
x7ti_OTAC_big_6big_8little,34.851
x7ti_OTAC_big_6big_8little,35.047
x7ti_OTAC_big_6big_8little,34.731
x7ti_OTAC_big_6big_8little,35.217
x7ti_OTAC_big_6big_8little,34.842
x7ti_OTAC_big_6big_8little,35.153
x7ti_OTAC_big_6big_8little,35.158
x7ti_OTAC_little_3big_4little,24.622
x7ti_OTAC_little_3big_4little,24.578
x7ti_OTAC_little_3big_4little,24.674
x7ti_OTAC_little_3big_4little,24.781
