node,sched,pinning,max_little,max_big,n_little,n_big,strat,thr_mean,thr_min,thr_max,thr_error,thr_std
x7ti,2CATAC,loose,4,3,4,3,half,44.69189999999999,43.39,45.246,1.8560000000000016,0.539507481155009
x7ti,2CATAC,loose,8,6,8,5,full,50.6769,48.754,53.277,4.523000000000003,1.7182634289046346
x7ti,FERTAC,loose,4,3,4,3,half,34.5096,34.054,34.888,0.8339999999999961,0.2868070199047894
x7ti,FERTAC,loose,8,6,8,6,full,54.360400000000006,53.308,55.583,2.2749999999999986,0.8412308706756888
x7ti,HeRAD,loose,4,3,4,3,half,44.91629999999999,44.233,45.488,1.2550000000000026,0.37383182493379813
x7ti,HeRAD,loose,8,6,8,5,full,50.073899999999995,48.289,52.483,4.1939999999999955,1.4231206281346005
x7ti,OTAC_big,loose,4,3,0,3,half,17.316300000000002,17.051,17.465,0.4140000000000015,0.14512144339598268
x7ti,OTAC_big,loose,8,6,0,6,full,35.0302,34.731,35.413,0.681999999999995,0.22983897745063883
x7ti,OTAC_little,loose,4,3,4,0,half,24.597199999999997,24.311,24.873,0.5620000000000012,0.17909513300664184
x7ti,OTAC_little,loose,8,6,8,0,full,43.760600000000004,43.356,44.158,0.8019999999999996,0.25904963059443054
x7ti,2CATAC,lavd_default,4,3,0,0,half,37.105000000000004,31.768,39.699,7.930999999999997,2.567516309587925
x7ti,2CATAC,lavd_default,8,6,0,0,full,41.254,33.84,46.917,13.076999999999998,4.027823950693199
x7ti,FERTAC,lavd_default,4,3,0,0,half,25.4791,22.458,28.934,6.476000000000003,2.5323941877642637
x7ti,FERTAC,lavd_default,8,6,0,0,full,47.0854,43.438,50.662,7.223999999999997,2.247353169100634
x7ti,HeRAD,lavd_default,4,3,0,0,half,34.82899999999999,29.617,38.177,8.559999999999999,3.1498195715522077
x7ti,HeRAD,lavd_default,8,6,0,0,full,43.12179999999999,34.008,51.662,17.653999999999996,4.813389237902494
x7ti,OTAC_big,lavd_default,4,3,0,0,half,17.251600000000003,17.004,17.316,0.3119999999999976,0.09021850019689805
x7ti,OTAC_big,lavd_default,8,6,0,0,full,23.570500000000003,22.648,28.18,5.532,1.640813636245411
x7ti,OTAC_little,lavd_default,4,3,0,0,half,24.771000000000004,24.613,24.86,0.2469999999999999,0.07257945837341175
x7ti,OTAC_little,lavd_default,8,6,0,0,full,30.593700000000002,29.784,32.447,2.663000000000004,0.9233785849320482
x7ti,2CATAC,lavd_energy,4,3,0,0,half,24.6188,16.507,38.31,21.803,8.060686127399109
x7ti,2CATAC,lavd_energy,8,6,0,0,full,45.6991,36.996,60.637,23.641,7.548346609983171
x7ti,FERTAC,lavd_energy,4,3,0,0,half,22.927,22.321,26.65,4.328999999999997,1.3178145207543852
x7ti,FERTAC,lavd_energy,8,6,0,0,full,47.4824,44.043,50.001,5.957999999999998,1.7148932069114713
x7ti,HeRAD,lavd_energy,4,3,0,0,half,29.198400000000003,16.803,38.687,21.883999999999997,8.530826743835167
x7ti,HeRAD,lavd_energy,8,6,0,0,full,43.61,33.722,53.996,20.274,5.98628012857549
x7ti,OTAC_big,lavd_energy,4,3,0,0,half,17.190099999999997,17.071,17.258,0.1869999999999976,0.06864635621955566
x7ti,OTAC_big,lavd_energy,8,6,0,0,full,23.1767,22.555,24.359,1.804000000000002,0.5311595387033503
x7ti,OTAC_little,lavd_energy,4,3,0,0,half,24.6571,24.224,24.817,0.593,0.17974701357432604
x7ti,OTAC_little,lavd_energy,8,6,0,0,full,30.482499999999998,29.541,31.9,2.358999999999998,0.8168789179962147
x7ti,2CATAC,lavd_performance,4,3,0,0,half,28.670300000000005,17.004,38.305,21.301,8.33893859552881
x7ti,2CATAC,lavd_performance,8,6,0,0,full,40.37250000000001,36.661,43.139,6.4780000000000015,2.2612797875932515
x7ti,FERTAC,lavd_performance,4,3,0,0,half,23.269,22.354,24.495,2.141000000000002,0.7433213750906585
x7ti,FERTAC,lavd_performance,8,6,0,0,full,47.1702,43.08,49.337,6.257000000000005,1.782077302226566
x7ti,HeRAD,lavd_performance,4,3,0,0,half,27.552300000000002,16.606,40.044,23.437999999999995,8.538833423444522
x7ti,HeRAD,lavd_performance,8,6,0,0,full,42.6734,34.51,50.183,15.673000000000002,5.212639834521895
x7ti,OTAC_big,lavd_performance,4,3,0,0,half,17.2052,17.078,17.275,0.19699999999999918,0.055220366613133884
x7ti,OTAC_big,lavd_performance,8,6,0,0,full,23.065099999999997,22.57,23.732,1.161999999999999,0.3782986621411423
x7ti,OTAC_little,lavd_performance,4,3,0,0,half,24.7581,24.659,24.85,0.1910000000000025,0.06359673296989837
x7ti,OTAC_little,lavd_performance,8,6,0,0,full,30.320399999999996,29.537,31.503,1.966000000000001,0.692118197998001
x7ti,2CATAC,bpfland_default,4,3,0,0,half,41.917899999999996,41.619,42.123,0.5039999999999978,0.20307111507493614
x7ti,2CATAC,bpfland_default,8,6,0,0,full,49.1765,49.062,49.34,0.2780000000000058,0.087322200308209
x7ti,FERTAC,bpfland_default,4,3,0,0,half,35.0969,34.785,35.24,0.4550000000000054,0.19289228427631147
x7ti,FERTAC,bpfland_default,8,6,0,0,full,52.659000000000006,52.536,52.754,0.21799999999999642,0.06960683235940987
x7ti,HeRAD,bpfland_default,4,3,0,0,half,41.870400000000004,41.541,42.105,0.5640000000000001,0.1750918489123802
x7ti,HeRAD,bpfland_default,8,6,0,0,full,51.4014,51.222,51.603,0.3810000000000002,0.1462032071391655
x7ti,OTAC_big,bpfland_default,4,3,0,0,half,16.932499999999997,16.8,16.992,0.19200000000000017,0.0739387884972729
x7ti,OTAC_big,bpfland_default,8,6,0,0,full,35.393100000000004,35.112,35.505,0.3930000000000007,0.11412415266814609
x7ti,OTAC_little,bpfland_default,4,3,0,0,half,24.5054,24.242,24.658,0.41600000000000037,0.15413572662501757
x7ti,OTAC_little,bpfland_default,8,6,0,0,full,44.1536,43.745,44.558,0.8130000000000024,0.2630970247730769
x7ti,2CATAC,bpfland_energy,4,3,0,0,half,14.9661,14.907,15.076,0.16900000000000048,0.05878104380760127
