sched_name,throughput_mbps
x7ti_os_R1,17.609
x7ti_os_R1,17.309
x7ti_os_R1,17.657
x7ti_os_R1,17.601
x7ti_os_R1,17.594
x7ti_os_R1,17.241
x7ti_os_R1,17.617
x7ti_os_R1,17.212
x7ti_os_R1,17.584
x7ti_os_R1,17.564
x7ti_os_R1,17.469
x7ti_os_R1,17.459
x7ti_os_R1,17.421
x7ti_os_R1,17.553
x7ti_os_R1,17.515
x7ti_os_R1_lavd,16.195
x7ti_os_R1_lavd,16.142
x7ti_os_R1_lavd,16.190
x7ti_os_R1_lavd,16.265
x7ti_os_R1_lavd,16.315
x7ti_os_R1_lavd,16.247
x7ti_os_R1_lavd,16.152
x7ti_os_R1_lavd,16.312
x7ti_os_R1_lavd,16.290
x7ti_os_R1_lavd,16.240
x7ti_os_R1_lavd,16.297
x7ti_os_R1_lavd,16.162
x7ti_os_R1_lavd,16.256
x7ti_os_R1_lavd,16.270
x7ti_os_R1_lavd,16.296
x7ti_os_R1_bpfland,16.809
x7ti_os_R1_bpfland,17.201
x7ti_os_R1_bpfland,16.862
x7ti_os_R1_bpfland,16.767
x7ti_os_R1_bpfland,16.978
x7ti_os_R1_bpfland,16.868
x7ti_os_R1_bpfland,16.819
x7ti_os_R1_bpfland,16.996
x7ti_os_R1_bpfland,17.088
x7ti_os_R1_bpfland,17.063
x7ti_os_R1_bpfland,17.229
x7ti_os_R1_bpfland,16.936
x7ti_os_R1_bpfland,16.943
x7ti_os_R1_bpfland,16.712
x7ti_os_R1_bpfland,16.746
x7ti_os_R2,16.049
x7ti_os_R2,16.104
x7ti_os_R2,16.031
x7ti_os_R2,16.050
x7ti_os_R2,16.316
x7ti_os_R2,16.255
x7ti_os_R2,16.328
x7ti_os_R2,15.944
x7ti_os_R2,16.361
x7ti_os_R2,16.167
x7ti_os_R2,16.296
x7ti_os_R2,16.020
x7ti_os_R2,16.109
x7ti_os_R2,16.229
x7ti_os_R2,16.294
x7ti_os_R2_lavd,14.122
x7ti_os_R2_lavd,13.610
x7ti_os_R2_lavd,12.931
x7ti_os_R2_lavd,12.936
x7ti_os_R2_lavd,12.929
x7ti_os_R2_lavd,13.553
x7ti_os_R2_lavd,15.441
x7ti_os_R2_lavd,14.414
x7ti_os_R2_lavd,13.456
x7ti_os_R2_lavd,12.990
x7ti_os_R2_lavd,13.946
x7ti_os_R2_lavd,14.604
x7ti_os_R2_lavd,13.311
x7ti_os_R2_lavd,13.326
x7ti_os_R2_lavd,13.845
x7ti_os_R2_bpfland,15.590
x7ti_os_R2_bpfland,15.593
x7ti_os_R2_bpfland,15.596
x7ti_os_R2_bpfland,15.636
x7ti_os_R2_bpfland,15.616
x7ti_os_R2_bpfland,15.625
x7ti_os_R2_bpfland,15.592
x7ti_os_R2_bpfland,15.624
x7ti_os_R2_bpfland,15.641
x7ti_os_R2_bpfland,15.690
x7ti_os_R2_bpfland,15.591
x7ti_os_R2_bpfland,15.623
x7ti_os_R2_bpfland,15.671
x7ti_os_R2_bpfland,15.626
