node_name,x_node_name,tag1,tag2,sched,x_sched,pinning,x_pinning,max_little,max_big,n_little,n_big,strat,sck_v_mean,sck_v_min,sck_v_max,sck_v_std,sck_i_mean,sck_i_min,sck_i_max,sck_i_std,sck_w_mean,sck_w_min,sck_w_max,sck_w_minus,sck_w_plus,sck_w_std,sck_w_idle,sck_j_first,sck_j_last,sck_j_total,rapl_w_mean,rapl_w_min,rapl_w_max,rapl_w_std,rapl_w_idle,thr_mean,thr_min,thr_max,thr_minus,thr_plus,thr_error,thr_std,sck_ene_per_fra,rapl_ene_per_fra
x7ti,4,2CATAC_packed_half,x7ti_2CATAC_half,2CATAC,1,packed,3,4,3,4,3,half,18.798010083417363,18.67,19.014,0.06812890691309542,3.4470857594646622,1.066,4.6217,0.6954737582325003,64.76242407854524,20.245472000000003,86.35646449999999,44.51695207854523,21.59404042145475,12.948483132634896,13.50118462351242,524.401,2466.469,1942.0680000000002,0.98,0.87,1.08,0.06,0.42,37.4182,36.715,37.756,0.7031999999999954,0.33780000000000143,1.0409999999999968,0.326699250075661,0.024632366588608103,0.0003727426760239669
x7ti,4,2CATAC_packed_full,x7ti_2CATAC_full,2CATAC,1,packed,3,8,6,8,5,full,18.743670763907858,18.666,18.879,0.03780239091232178,4.106532960029136,2.63,4.7122,0.388652074049771,76.96023800127014,49.58076,88.11814,27.379478001270144,11.157901998729855,7.1843072937285495,13.50118462351242,0.137,2305.247,2305.1099999999997,1.61,1.41,2.02,0.13,0.42,70.96849999999999,70.156,72.303,0.8124999999999858,1.3345000000000056,2.1469999999999914,0.6274789505101598,0.015433581197771926,0.00032286887844607123
x7ti,4,FERTAC_packed_half,x7ti_FERTAC_half,FERTAC,2,packed,3,4,3,4,3,half,18.74735449639472,18.681,18.92,0.018080329574889333,4.042803056550723,1.8339,4.5892,0.15985969921697268,75.79011056822367,34.697388000000004,85.81804,41.092722568223664,10.027929431776329,2.954581424070527,13.50118462351242,0.131,2272.7,2272.569,0.96,0.93,1.07,0.03,0.42,35.3147,34.75,36.879,0.564700000000002,1.5642999999999958,2.128999999999998,0.5703628572136232,0.030543792064125122,0.00038688478169147695
x7ti,4,FERTAC_packed_full,x7ti_FERTAC_full,FERTAC,2,packed,3,8,6,8,6,full,18.72882088670846,18.658,18.841,0.013884845401597476,4.260032538384665,3.0115,4.9039,0.12514616410633939,79.78425704041973,56.7396715,91.4969662,23.04458554041973,11.712709159580271,2.306259614249103,13.50118462351242,5615.931,8008.562,2392.6310000000003,1.83,1.64,2.02,0.08,0.42,63.735299999999995,63.282,65.129,0.4532999999999987,1.3937000000000097,1.8470000000000084,0.7124664592495269,0.01781570881755093,0.00040863634438058664
x7ti,4,HeRAD_packed_half,x7ti_HeRAD_half,HeRAD,3,packed,3,4,3,4,3,half,18.787495712070065,18.64,19.025,0.0654664907861568,3.547589832132105,1.0589,4.3342,0.6781511474169468,66.61607237884317,20.145572499999997,81.9293826,46.47049987884317,15.313310221156826,12.613611964641771,13.50118462351242,0.073,1994.207,1994.134,1.00,0.88,1.22,0.07,0.42,38.67550000000001,38.264,39.181,0.41150000000000375,0.5054999999999907,0.9169999999999945,0.26725029882531853,0.024513708732807483,0.00036798490000129275
x7ti,4,HeRAD_packed_full,x7ti_HeRAD_full,HeRAD,3,packed,3,8,6,8,5,full,18.732780378282758,18.644,18.972,0.028339391970230485,4.201959264298997,1.254,4.77,0.2535923378815428,78.70978221078151,23.790888000000002,89.12744999999998,54.91889421078151,10.41766778921847,4.68315153485354,13.50118462351242,0.147,2359.504,2359.357,1.70,1.46,2.08,0.14,0.42,71.5471,70.882,71.986,0.6650999999999954,0.43890000000000384,1.1039999999999992,0.3666177088527553,0.015656785815551466,0.00033816045653842013
x7ti,4,OTAC_big_packed_half,x7ti_OTAC_big_half,OTAC_big,4,packed,3,4,3,0,3,half,18.864992545454545,18.758,19.007,0.023839641457377943,2.620229418181818,0.8096,3.2471,0.20380680045890007,49.427677684986364,15.3880672,61.16898549999999,34.03961048498636,11.741307815013627,3.805221278897211,13.50118462351242,0.078,1480.832,1480.7540000000001,0.62,0.62,0.66,0.01,0.42,18.125899999999994,17.697,19.186,0.4288999999999952,1.0601000000000056,1.4890000000000008,0.3889951299323826,0.038809367193503565,0.00048680837917013803
x7ti,4,OTAC_big_packed_full,x7ti_OTAC_big_full,OTAC_big,4,packed,3,8,6,0,6,full,18.775261544094093,18.655,19.003,0.03851352419332174,3.690141618232575,0.8564,4.7774,0.37663298713505994,69.27314473888151,16.2741692,89.409041,52.99897553888151,20.13589626111849,6.9652108244426625,13.50118462351242,0.111,2074.856,2074.7450000000003,0.79,0.77,0.97,0.04,0.42,37.61890000000001,36.999,38.949,0.6199000000000083,1.3300999999999874,1.9499999999999957,0.8782264261314124,0.026207448806949737,0.0002988731727934628
x7ti,4,OTAC_little_packed_half,x7ti_OTAC_little_half,OTAC_little,5,packed,3,4,3,4,0,half,18.96377227993439,18.855,19.033,0.013038484933332095,1.4366073628576637,0.6262,2.4745,0.10071745245697844,27.242553313213048,11.9184646,46.7160855,15.324088713213047,19.47353218678695,1.8953584477741903,13.50118462351242,0.045,816.645,816.6,0.65,0.64,0.69,0.01,0.42,14.551700000000002,14.438,14.627,0.11370000000000147,0.07529999999999859,0.18900000000000006,0.07167217033130785,0.026644036006353074,0.000635719537923404
x7ti,4,OTAC_little_packed_full,x7ti_OTAC_little_full,OTAC_little,5,packed,3,8,6,8,0,full,18.946331401186672,18.825,18.991,0.015197917884328387,1.6167003331811958,1.037,2.9333,0.12925986893495922,30.629109165225923,19.693666999999998,55.260438699999995,10.935442165225925,24.63132953477407,2.4298720061221695,13.50118462351242,0.051,918.605,918.554,0.94,0.91,1.00,0.02,0.42,26.084600000000002,26.012,26.182,0.07260000000000133,0.09739999999999682,0.16999999999999815,0.06819938090302216,0.01671152640406582,0.0005128727295032317
